Module 7,Module 1,Module 11,Module 6,Module 3,Module 12,Module 9,Module 4,Module 10,Module 2,Module 8,Module 5
Atp5d,Gm2a,Lgals9,Atp5f1,Cd52,Foxm1,Rpl13,Pfdn5,Mrpl52,Cox5a,Psap,Klf6
Reep5,Calr,Ssr4,Trappc6a,Rabac1,Top2a,Rpl8,Rps11,Rpl15,Ndufa11,Man2b1,Hk2
Clic1,Cstb,Snrpb2,Sdhb,Atp6v0e,Shcbp1,Rplp1,Atp6v1f,Rps5,Prdx2,Ctsd,Celf2
Cox6c,Ergic3,Mzt2,Psmb6,Pfn1,Smchd1,Rps18,Rps9,Slc25a5,Psmb4,Ctsz,Ranbp2
Edf1,Cyba,Sdf2l1,Ndufa12,Gabarap,Incenp,Rps15a,Rpl10,Btf3,Atp5g1,Sparc,Hnrnpa2b1
Atp5e,Tmem86a,Aif1,Uqcr11,Ccl6,Kif20b,Rack1,Rps25,Rtraf,Nedd8,Lgmn,Mef2c
Ndufa1,Atraid,Ms4a6d,Hint1,Ubb,Cenpf,Nme2,Rpl19,Dad1,Ndufa2,Ly86,Mertk
Atox1,Tnfaip8l2,Slamf9,Ywhae,Srgn,Knl1,Eif3h,Rps27a,Psme1,Psmb1,Hexb,H3f3b
2010107E04Rik,Fcgr1,Timm10,Slirp,Supt4a,Smc2,Ndufa6,Cox7a2l,Rps26,Psma2,Ctsb,Epb41l2
Smdt1,Timp2,Akr1a1,Tmem14c,Txndc17,Cdca8,Cyb5a,Rps14,Eef1b2,Cox7c,Pabpc1,Nav3
Ndufb4,Serinc3,Erp29,Uqcrb,Hcfc1r1,Cenpa,Shisa5,Rps24,Ndufb5,Cops6,Itgb5,Ddx5
Cox14,Ctsa,Ptms,Spcs1,Aip,Cit,Rpl14,Rplp2,Rps6,Snrpf,Csf1r,Srsf5
Myl12a,Cd68,Ctsc,Uqcc2,Prdx5,Mki67,Rps20,Ptpn18,Eif3i,Mrps24,Olfml3,Eif5
Atp5c1,Tcn2,Pycard,Atp5b,Ifitm3,Smc4,Rpl6,Anxa5,Polr1d,Psma6,Tmem176b,Tra2b
Ndufb3,Laptm4a,Tmed3,Ndufa8,Taldo1,Ncapd3,Rpl12,Rps3a1,Rpl28,Ndufs6,Lag3,Son
Lamtor2,Npc2,Ppib,Prdx1,Higd2a,Kif15,Cmc1,Rpl22,Pgls,Psmb5,Itgam,Ivns1abp
Dctn3,Ctsl,Manf,Psmb2,Txn1,Anln,Rps19,Aldoa,Psmb10,Ndufb9,Ctsh,Slc15a3
Tomm7,Rnase4,Anapc13,Rer1,Capzb,Prc1,Rpl21,Rps3,Rps2,Rbx1,Lpcat2,Clk1
Cox4i1,Itm2b,Selenof,Ndufa4,Tmem50a,Neil3,S100a13,Eif3f,Rps8,Atp5j,Atp6v0b,Frmd4a
Brk1,Syngr1,Nenf,Pomp,Sh3bgrl3,Ncapg2,Taf10,Rps4x,Rpl29,Mrpl14,Lgals3bp,Apbb1ip
Atp5h,Ly6e,Gngt2,Mrps33,Arpc3,Hjurp,Wdr89,Rps29,Rpl36al,Ndufv2,Grn,Zeb2
Ndufa3,Pigp,Lap3,Ndufc2,Actb,Cenpe,Rps27rt,Rps16,Eif3k,Psmb8,P2ry12,Rrbp1
Cox8a,Tmbim6,Fam26f,Cox6a2,Arhgdib,Nsd2,Eef1d,Fau,Rpl23a,Mrpl21,C1qa,Rbm39
