Module 2,Module 3,Module 11,Module 9,Module 10,Module 7,Module 5,Module 8,Module 1,Module 6,Module 4
Gm2a,Cox5a,Lgals9,Trappc6a,Foxm1,Rpl13,Pfdn5,Psap,Atp5f1,Klf6,Cd52
Calr,Atp5d,Ssr4,Mrpl52,Top2a,Rpl8,Rps11,Man2b1,Ndufa11,Hk2,Rabac1
Ergic3,Reep5,Cstb,Rpl15,Shcbp1,Rplp1,Atp6v1f,Ctsd,Prdx2,Celf2,Atp6v0e
Cyba,Clic1,Snrpb2,Slc25a5,Smchd1,Rps18,Rps9,Ctsz,Psmb4,Ranbp2,Pfn1
Tmem86a,Nedd8,Mzt2,Btf3,Incenp,Rps15a,Rpl10,Sparc,Atp5g1,Hnrnpa2b1,Gabarap
Atraid,Cox6c,Sdf2l1,Rtraf,Kif20b,Rps5,Rps25,Lgmn,Sdhb,Mef2c,Ccl6
Tnfaip8l2,Edf1,Aif1,Dad1,Cenpf,Rpl19,Rps27a,Ly86,Ndufa2,Mertk,Ubb
Fcgr1,Atp5e,Ms4a6d,Psme1,Knl1,Rack1,Nme2,Hexb,Psmb1,H3f3b,Srgn
Timp2,Ndufa1,Slamf9,Rps26,Smc2,Rplp2,Eif3h,Ctsb,Psma2,Epb41l2,Supt4a
Serinc3,Cox7c,Akr1a1,Eef1b2,Cdca8,Rpl14,Ndufa6,Pabpc1,Psmb6,Nav3,Txndc17
Ctsa,Atox1,Erp29,Timm10,Cenpa,Rps3a1,Cox7a2l,Itgb5,Cops6,Ddx5,Hcfc1r1
Cd68,Psma6,Ptms,Ndufb5,Cit,Rps20,Rps14,Csf1r,Snrpf,Srsf5,Aip
Tcn2,2010107E04Rik,Ctsc,Eif3i,Mki67,Rps6,Cyb5a,Olfml3,Ndufa12,Eif5,Prdx5
Laptm4a,Ndufb9,Pycard,Polr1d,Smc4,Rpl22,Rps24,Tmem176b,Uqcr11,Tra2b,Ifitm3
Npc2,Rbx1,Tmed3,Pomp,Ncapd3,Rpl6,Shisa5,Hpgds,Hint1,Son,Taldo1
Ctsl,Smdt1,Manf,Rpl28,Kif15,Rpl12,Ptpn18,Lag3,Mrps24,Ivns1abp,Txn1
Rnase4,Ndufb4,Anapc13,Pgls,Anln,Cmc1,Anxa5,Itgam,Ywhae,Slc15a3,Capzb
Itm2b,Cox14,Selenof,Psmb10,Prc1,Rps19,Aldoa,Ctsh,Slirp,Clk1,Tmem50a
Syngr1,Myl12a,Nenf,Ppib,Neil3,Rpl21,Rps3,Lpcat2,Tmem14c,Frmd4a,Sh3bgrl3
Ly6e,Atp5c1,Gngt2,Rps2,Ncapg2,Rpl18a,Eif3f,Atp6v0b,Uqcrb,Apbb1ip,Arpc3
Pigp,Ndufb3,Lap3,Fam26f,Hjurp,Rpl27a,Rps4x,Lgals3bp,Ndufs6,Zeb2,Actb
Tmbim6,Lamtor2,Bst2,Rps8,Cenpe,Rpl29,Rps29,Grn,Spcs1,Rrbp1,Arhgdib
Bsg,Dctn3,Tmco1,Rpl36al,Nsd2,Rps23,Rps16,P2ry12,Psmb5,Rbm39,Cotl1
Trem2,Tomm7,Emc7,Eif3k,mt-Nd1,Eef1d,Fau,C1qa,Atp5j,Mbnl1,Gnai2
H2-Oa,Ndufb11,Fcgr4,Wdr83os,mt-Nd2,Npm1,Rps21,C1qc,Mrpl14,Ccnl1,Myl12b
Cd74,Cox4i1,Cebpzos,Gm10073,mt-Co1,Rpl32,Rpl37,C1qb,Ndufv2,Tra2a,Arl6ip5
Fth1,Cox7a2,Cst7,Rps17,mt-Co2,Rpl36,S100a13,Unc93b1,Uqcc2,Luc7l2,Eif1
Pold4,Ndufb7,Vkorc1,Rps12,mt-Atp6,Rpl10-ps3,Rpl7,Cd81,Psmb8,Mef2a,Psenen
Hexa,Brk1,,Atp5g2,mt-Co3,Rpl23a,Taf10,F11r,Mrpl21,Arhgap17,Atp6v1g1
Cd63,Atp5h,,Rpl35,mt-Nd3,Rpl5,Wdr89,Ctss,Cenpx,Fus,Cd53
Higd2a,Ndufa3,,Tmem256,mt-Nd4,Rpl18,Rpl37a,Gpr34,Ndufb8,Dock4,Tspo
Fcgr2b,Cox8a,,Rpl27-ps3,mt-Cytb,Rpl11,Rpl9,Irf8,Atp5b,Btg1,Selenok
Pdia3,Ndufa13,,Hspe1,Hist1h2ap,Rpl3,Rps27rt,Mpeg1,Ndufa8,Atp8a1,Cox17
Cst3,Tmem258,,Rpl31,Gm26917,H2-Q7,Rps10,Selplg,Nop10,Zfp36,Tmsb4x
Clta,Cox6b1,,Sec61g,Gm42418,Naca,Kxd1,Pld4,Ybx1,Wnk1,Lamtor4
